date,state,confirmed,new conf,% of conf,% of new conf,% of infected,recovered,new rec,% of rec,dead,new dead,% of dead,other,tested,% of tested,first dose,second dose,% of first dose,% of second dose
4/29/2021,Tamil Nadu,1148064,17897,5.09823864785906,0.079475688707889,1.45693401015228,1021575,15542,88.9824086462079,13933,107,1.21360830058255,0,22518836,28.5772030456853,4590062,1255826,5.82495177664975,1.59368781725888
4/30/2021,Tamil Nadu,1166756,18692,5.14842046566369,0.082480206096378,1.48065482233503,1037582,16007,88.928790595463,14046,113,1.20385067657677,0,22662407,28.7593997461929,4635447,1312353,5.88254695431472,1.66542258883249
5/1/2021,Tamil Nadu,1186344,19588,5.20010227116771,0.085860090570385,1.50551269035533,1054746,17164,88.907264671967,14193,147,1.19636462948352,0,22813859,28.951597715736,4683293,1362335,5.9432652284264,1.72885152284264
5/2/2021,Tamil Nadu,1207112,20768,5.25815677018307,0.090465010540167,1.53186802030457,1072322,17576,88.833679062092,14346,153,1.18845641498055,0,22956942,29.1331751269036,4679186,1367098,5.93805329949239,1.73489593908629
5/3/2021,Tamil Nadu,1228064,20952,5.31676321414144,0.090709297612088,1.55845685279188,1090338,18016,88.7851121765641,14468,122,1.17811449566146,0,23097963,29.312135786802,4705715,1417446,5.97171954314721,1.79878934010152
5/4/2021,Tamil Nadu,1249292,21228,5.3759637841984,0.091348507163228,1.58539593908629,1109450,19112,88.8062998882567,14612,144,1.16962247416937,0,23238475,29.4904505076142,4730022,1458823,6.00256598984772,1.85129822335025
5/5/2021,Tamil Nadu,1272602,23310,5.43989817497816,0.099641542649423,1.61497715736041,1129512,20062,88.7561075654446,14779,167,1.16132145006844,0,23393857,29.687635786802,4753074,1496168,6.03181979695431,1.89869035532995
5/6/2021,Tamil Nadu,1297500,24898,5.51049314687892,0.105742010305196,1.64657360406091,1151058,21546,88.7135260115607,14974,195,1.1540655105973,0,23545987,29.8806941624365,4783045,1553407,6.06985406091371,1.97132868020305
5/7/2021,Tamil Nadu,1323965,26465,5.58663331420297,0.11167232567355,1.68015862944162,1173439,22381,88.6306662185179,15171,197,1.14587621273976,0,23698799,30.0746180203046,4814633,1608046,6.10994035532995,2.04066751269036
5/8/2021,Tamil Nadu,1351362,27397,5.66494864743557,0.114849017579148,1.71492639593909,1196549,23110,88.5439282738452,15412,241,1.14047901302538,0,23854797,30.2725850253807,4835514,1644773,6.13643908629442,2.08727538071066
5/9/2021,Tamil Nadu,1380259,28897,5.74902221442686,0.120361102467213,1.75159771573604,1220064,23515,88.3938449233079,15648,236,1.13370026929728,0,24008587,30.46775,4842616,1656733,6.14545177664975,2.10245304568528
5/10/2021,Tamil Nadu,1409237,28978,5.83418547519708,0.119967774547689,1.78837182741117,1240968,20904,88.059566985539,15880,232,1.12685091294083,0,24154820,30.6533248730964,4872906,1714175,6.18389086294416,2.17534898477157
5/11/2021,Tamil Nadu,1438509,29272,5.91712838969433,0.120406742135873,1.825519035533,1260150,19182,87.6011203266716,16178,298,1.12463668979478,0,24310931,30.8514352791878,4902595,1759180,6.22156725888325,2.23246192893401
5/12/2021,Tamil Nadu,1468864,30355,6.0033791241342,0.124063611956651,1.86404060913706,1279658,19508,87.1188891551566,16471,293,1.12134275194981,0,24467287,31.0498565989848,4937244,1801679,6.26553807106599,2.28639467005076
5/13/2021,Tamil Nadu,1499485,30621,6.08917632091982,0.124347137932614,1.90289974619289,1298945,19287,86.6260749524003,16768,297,1.11825059937245,0,24625416,31.2505279187817,4978091,1844743,6.31737436548223,2.34104441624365
5/14/2021,Tamil Nadu,1531377,31892,6.17853016877881,0.128672223849969,1.94337182741117,1318982,20037,86.1304564454083,17056,288,1.11376884986519,0,24785458,31.4536269035533,5005098,1868492,6.35164720812183,2.37118274111675
5/15/2021,Tamil Nadu,1565035,33658,6.27258405405316,0.134899624667385,1.98608502538071,1339887,20905,85.6138680604587,17359,303,1.10917647209168,0,24950403,31.6629479695431,5034258,1894071,6.38865228426396,2.40364340101523
5/16/2021,Tamil Nadu,1598216,33181,6.36303029615346,0.132104614305368,2.02819289340102,1361204,21317,85.1702147894903,17670,311,1.1056077526442,0,25117215,31.8746383248731,5043505,1898439,6.40038705583756,2.40918654822335
5/17/2021,Tamil Nadu,1631291,33075,6.45455325287064,0.130868342214048,2.07016624365482,1381690,20486,84.6991738445195,18005,335,1.10372704808645,0,25273492,32.0729593908629,5083368,1912112,6.45097461928934,2.42653807106599
5/18/2021,Tamil Nadu,1664350,33059,6.54381095886145,0.129979779787305,2.1121192893401,1403052,21362,84.3002974134046,18369,364,1.10367410700874,0,25433956,32.2765939086294,5118546,1922153,6.49561675126904,2.43928045685279
5/19/2021,Tamil Nadu,1699225,34875,6.63648008337346,0.1362075316145,2.1563769035533,1426915,23863,83.9744589445188,18734,365,1.10250261148465,0,25604311,32.4927804568528,5152220,1930160,6.53835025380711,2.44944162436548
5/20/2021,Tamil Nadu,1734804,35579,6.73046262512655,0.13803468849471,2.20152791878173,1452283,25368,83.714529134127,19131,397,1.10277587554559,0,25775405,32.709904822335,5328541,1952159,6.76210786802031,2.47735913705584
5/21/2021,Tamil Nadu,1770988,36184,6.82474359734711,0.139439974932867,2.24744670050761,1476761,24478,83.3862792972059,19598,467,1.10661393527229,0,25949517,32.9308591370558,5364809,1957146,6.80813324873096,2.48368781725888
5/22/2021,Tamil Nadu,1806861,35873,6.91628106805088,0.137314243184279,2.29297081218274,1502537,25776,83.1573098318022,20046,448,1.10943785935941,0,26124748,33.1532335025381,5410694,1961304,6.86636294416244,2.48896446700508
5/23/2021,Tamil Nadu,1842344,35483,7.00469158269323,0.134908286090276,2.338,1527733,25196,82.923330279253,20468,422,1.11097601750813,0,26301572,33.3776294416244,5428324,1962538,6.88873604060914,2.49053045685279
5/24/2021,Tamil Nadu,1877211,34867,7.09190629036917,0.131723869413881,2.38224746192893,1554759,27026,82.8228153361556,20872,404,1.11186222539714,0,26469766,33.5910736040609,5507034,1966455,6.98862182741117,2.49550126903553
5/25/2021,Tamil Nadu,1911496,34285,7.17484574518558,0.12868956376246,2.42575634517766,1583504,28745,82.8410836329242,21340,468,1.1164030685913,0,26641632,33.8091776649746,5679909,1970591,7.20800634517767,2.50075
5/26/2021,Tamil Nadu,1945260,33764,7.25462794588033,0.125919032913186,2.46860406091371,1613221,29717,82.9308678531405,21815,475,1.12144392009294,0,26814056,34.0279898477157,5940657,1973620,7.53890482233503,2.50459390862944
5/27/2021,Tamil Nadu,1978621,33361,7.33142976073137,0.12361327826186,2.51094035532995,1643284,30063,83.051984184945,22289,474,1.12649163230351,0,26988201,34.2489860406091,6230848,1978147,7.90716751269036,2.51033883248731
5/28/2021,Tamil Nadu,2009700,31079,7.39846493172903,0.114413540136939,2.5503807106599,1674539,31255,83.3228342538687,22775,486,1.13325371946062,0,27163743,34.4717550761421,6523932,1995551,8.27910152284264,2.53242512690355
5/29/2021,Tamil Nadu,2039716,30016,7.4610766545083,0.109795519014275,2.58847208121827,1706298,31759,83.653704731443,23261,486,1.14040386014524,0,27338092,34.6930101522843,6782968,2013165,8.60782741116751,2.55477791878173
5/30/2021,Tamil Nadu,2068580,28864,7.51898037482076,0.104916343355745,2.62510152284264,1739280,32982,84.0808670682304,23754,493,1.14832397103327,0,27511443,34.9129987309645,6872673,2018876,8.72166624365482,2.56202538071066
5/31/2021,Tamil Nadu,2096516,27936,7.57545542267846,0.100942669976258,2.66055329949239,1770503,31223,84.4497728612613,24232,478,1.15582232618306,0,27675115,35.1207043147208,7061570,2032685,8.96138324873096,2.57954949238579
6/1/2021,Tamil Nadu,2123029,26513,7.62513454245795,0.095224884881077,2.69419923857868,1802176,31673,84.8870175584036,24722,490,1.16446831390433,0,27842512,35.3331370558376,7185963,2049689,9.1192423857868,2.60112817258883
6/2/2021,Tamil Nadu,2148346,25317,7.66805222615926,0.090363506720833,2.72632741116751,1834439,32263,85.3884337066748,25205,483,1.17322814853846,0,28016841,35.554366751269,7277828,2061988,9.23582233502538,2.61673604060914
6/3/2021,Tamil Nadu,2172751,24405,7.70580756418249,0.086553974019054,2.75729822335025,1866660,32221,85.9122835520499,25665,460,1.18122141009255,0,28196279,35.7820799492386,7544779,2074419,9.57459263959391,2.6325114213198
6/4/2021,Tamil Nadu,2195402,22651,7.73810530863007,0.079837689564727,2.78604314720812,1900306,33646,86.5584526205224,26128,463,1.19012372221579,0,28371312,36.0042030456853,7783926,2085072,9.87807868020305,2.64603045685279
6/5/2021,Tamil Nadu,2216812,21410,7.7655693515571,0.074999972851481,2.81321319796954,1932778,32472,87.1872761424965,26571,443,1.19861314355931,0,28546677,36.2267474619289,7913888,2093048,10.0430050761421,2.65615228426396
6/6/2021,Tamil Nadu,2237233,20421,7.78935854645444,0.07109965340094,2.83912817258883,1965939,33161,87.8736814627712,27005,434,1.20707141366143,0,28721659,36.4488058375635,7960545,2095831,10.1022144670051,2.65968401015228
6/7/2021,Tamil Nadu,2256681,19448,7.81061256145497,0.06731159304092,2.86380837563452,1997299,31360,88.5060405081622,27356,351,1.21222272886598,0,28892497,36.6656053299492,8016934,2102648,10.1737741116751,2.66833502538071
6/8/2021,Tamil Nadu,2274704,18023,7.82690913950637,0.062014391068606,2.88668020304569,2028344,31045,89.1695798662156,27765,409,1.22059837235966,0,29062609,36.8814835025381,8060098,2107162,10.2285507614213,2.67406345177665
6/9/2021,Tamil Nadu,2292025,17321,7.83776241299777,0.059230541881321,2.90866116751269,2059597,31253,89.8592729136899,28170,405,1.22904418581822,0,29243359,37.1108616751269,8107953,2110972,10.2892804568528,2.67889847715736
6/10/2021,Tamil Nadu,2308838,16813,7.84644386889246,0.057137945913784,2.92999746192893,2091646,32049,90.5930169201997,28528,358,1.23559989917006,0,29425279,37.3417246192893,8146496,2114309,10.338192893401,2.68313324873096
6/11/2021,Tamil Nadu,2324597,15759,7.85128208332482,0.053225722286967,2.9499961928934,2120889,29243,91.2368466448163,28906,378,1.24348435449241,0,29607865,37.5734327411168,8203122,2122163,10.4100532994924,2.69310025380711
6/12/2021,Tamil Nadu,2339705,15108,7.85379874546936,0.050713740170898,2.96916878172589,2148352,27463,91.8214903160869,29280,374,1.25143981826769,0,29790743,37.8055114213198,8486924,2142315,10.7702081218274,2.71867385786802
