date,state,confirmed,new conf,% of infected,recovered,new rec,% of rec,dead,new dead,% of dead,other,tested,% of tested,first dose,second dose,% of first dose,% of second dose
4/14/2021,Uttar Pradesh,744021,20439,0.308722406639004,622810,4517,83.7086587609758,9376,67,1.26017948418123,0,37384344,15.51217593361,8606878,1421961,3.57131867219917,0.590025311203319
4/15/2021,Uttar Pradesh,766360,22339,0.317991701244813,627032,4222,81.8195104128608,9480,104,1.23701654574873,0,37590753,15.5978228215768,8791482,1482514,3.64791784232365,0.615151037344398
4/16/2021,Uttar Pradesh,793720,27360,0.329344398340249,633461,6429,79.8091266441566,9583,103,1.20735271884292,0,37814182,15.6905319502075,8978586,1560116,3.72555435684647,0.647351037344398
4/17/2021,Uttar Pradesh,821054,27334,0.340686307053942,641292,7831,78.105946746499,9703,120,1.18177367140286,0,38029865,15.7800269709544,9102697,1610042,3.77705269709544,0.668067219917012
4/18/2021,Uttar Pradesh,851620,30566,0.353369294605809,650333,9041,76.3642234799559,9830,127,1.15427068410794,0,38266474,15.8782049792531,9106356,1612019,3.77857095435685,0.66888755186722
4/19/2021,Uttar Pradesh,879831,28211,0.36507510373444,661311,10978,75.1634120643624,9997,167,1.13624093717998,0,38467016,15.9614174273859,9225108,1684657,3.82784564315353,0.699027800829875
4/20/2021,Uttar Pradesh,909405,29574,0.377346473029046,675702,14391,74.3015488148845,10159,162,1.11710404055399,0,38666846,16.044334439834,9356397,1764383,3.882322406639,0.732109128630705
4/21/2021,Uttar Pradesh,942511,33106,0.391083402489626,689900,14198,73.1980846907888,10346,187,1.09770602146818,0,38892416,16.1379319502075,9450086,1809660,3.92119751037344,0.750896265560166
4/22/2021,Uttar Pradesh,976765,34254,0.405296680497925,706414,16514,72.321796952184,10541,195,1.07917462235031,0,39089449,16.2196883817427,9564334,1877394,3.96860331950207,0.779001659751037
4/23/2021,Uttar Pradesh,1013370,36605,0.420485477178423,728980,22566,71.936212834404,10737,196,1.05953403001865,0,39314905,16.3132385892116,9679894,1943801,4.01655352697095,0.80655643153527
4/24/2021,Uttar Pradesh,1051314,37944,0.436229875518672,752211,23231,71.5496036388748,10959,222,1.04240978432704,0,39540989,16.4070493775934,9779846,1997363,4.05802738589212,0.82878132780083
4/25/2021,Uttar Pradesh,1086625,35311,0.450881742738589,777844,25633,71.5834809616933,11165,206,1.02749338548257,0,39780573,16.5064618257261,9783416,2000464,4.05950871369295,0.830068049792531
4/26/2021,Uttar Pradesh,1120176,33551,0.464803319502075,804563,26719,71.8246954050078,11414,249,1.01894702261073,0,39957293,16.579789626556,9883945,2063783,4.10122199170124,0.856341493775934
4/27/2021,Uttar Pradesh,1153097,32921,0.478463485477178,834961,30398,72.4103002609494,11678,264,1.01275087872052,0,40141354,16.6561634854772,9953815,2107488,4.13021369294606,0.874476348547718
4/28/2021,Uttar Pradesh,1182848,29751,0.490808298755187,870864,35903,73.6243371929445,11943,265,1.00968171734661,0,40328141,16.7336684647303,10019065,2150445,4.15728838174274,0.892300829875519
4/29/2021,Uttar Pradesh,1217952,35104,0.505374273858921,896477,25613,73.6052816531358,12238,295,1.00480150285069,0,40553875,16.8273340248963,10126798,2228757,4.20199087136929,0.924795435684647
4/30/2021,Uttar Pradesh,1252324,34372,0.519636514522822,928971,32494,74.1797649809474,12570,332,1.00373385801119,0,40798042,16.9286481327801,10241537,2317497,4.24960041493776,0.961617012448133
5/1/2021,Uttar Pradesh,1282504,30180,0.532159336099585,967797,38826,75.4615190284007,12874,304,1.00381753195312,0,41064661,17.0392784232365,10349479,2371315,4.29438962655602,0.983948132780083
5/2/2021,Uttar Pradesh,1313361,30857,0.544963070539419,1004447,36650,76.4791249321398,13162,288,1.00216162959004,0,41362046,17.1626746887967,10334378,2371136,4.28812365145228,0.983873858921162
5/3/2021,Uttar Pradesh,1342413,29052,0.557017842323651,1043134,38687,77.7058922999107,13447,285,1.00170364857909,0,41591659,17.2579497925311,10420459,2444846,4.32384190871369,1.01445892116183
5/4/2021,Uttar Pradesh,1368183,25770,0.567710788381743,1081817,38683,79.0696127637897,13798,351,1.00849082323052,0,41800223,17.3444908713693,10507449,2517434,4.35993734439834,1.04457842323651
5/5/2021,Uttar Pradesh,1399294,31111,0.580619917012448,1122669,40852,80.2311022558519,14151,353,1.01129569625826,0,42032261,17.4407721991701,10590061,2585264,4.39421618257261,1.07272365145228
5/6/2021,Uttar Pradesh,1425916,26622,0.591666390041494,1151571,28902,80.7600868494357,14501,350,1.0169603258537,0,42258373,17.5345946058091,10671374,2659209,4.42795601659751,1.10340622406639
5/7/2021,Uttar Pradesh,1453679,27763,0.603186307053942,1184688,33117,81.495846056798,14873,372,1.02312821468839,0,42499776,17.6347618257261,10745272,2725710,4.45861908713693,1.131
5/8/2021,Uttar Pradesh,1480315,26636,0.614238589211618,1219409,34721,82.3749674900275,15170,297,1.02478188763878,0,42724305,17.7279273858921,10815768,2778193,4.48787053941909,1.15277717842324
5/9/2021,Uttar Pradesh,1503490,23175,0.623854771784232,1254045,34636,83.408935210743,15464,294,1.02854026298811,0,42953900,17.8231950207469,10817123,2778728,4.48843278008299,1.15299917012448
5/10/2021,Uttar Pradesh,1524767,21277,0.632683402489626,1283754,29709,84.1934538195016,15742,278,1.03242003532343,0,43169533,17.9126692946058,10908035,2852627,4.52615560165975,1.18366265560166
5/11/2021,Uttar Pradesh,1545212,20445,0.641166804979253,1313112,29358,84.9794073564016,16043,301,1.03823941310319,0,43404184,18.0100348547718,11006879,2929331,4.56716970954357,1.21549004149378
5/12/2021,Uttar Pradesh,1563235,18023,0.648645228215768,1340251,27139,85.7357339107684,16369,326,1.04712343313705,0,43651487,18.1126502074689,11134848,3006688,4.62026887966805,1.24758838174274
5/13/2021,Uttar Pradesh,1580980,17745,0.656008298755187,1359676,19425,86.0020999633139,16646,277,1.05289124467103,0,43906523,18.2184742738589,11280730,3112966,4.68080082987552,1.29168713692946
5/14/2021,Uttar Pradesh,1596627,15647,0.662500829875519,1385855,26179,86.7989204742247,16957,311,1.06205143718602,0,44170366,18.3279526970954,11391619,3177256,4.72681286307054,1.31836348547718
5/15/2021,Uttar Pradesh,1609140,12513,0.667692946058091,1414259,28404,87.8891208968766,17238,281,1.07125545322346,0,44427447,18.4346253112033,11508030,3256912,4.77511618257261,1.35141576763485
5/16/2021,Uttar Pradesh,1619645,10505,0.672051867219917,1439096,24837,88.8525571961757,17546,308,1.08332381478657,0,44695189,18.5457215767635,11509435,3257469,4.77569917012448,1.3516468879668
5/17/2021,Uttar Pradesh,1628990,9345,0.675929460580913,1462141,23045,89.7575184623601,17817,271,1.09374520408351,0,44950523,18.6516692946058,11721943,3275889,4.86387676348548,1.35929004149378
5/18/2021,Uttar Pradesh,1637663,8673,0.679528215767635,1483249,21108,90.5710759783912,18072,255,1.1035237408429,0,45231090,18.7680871369295,11918603,3289048,4.94547842323652,1.36475020746888
5/19/2021,Uttar Pradesh,1644849,7186,0.682509958506224,1502918,19669,91.3711836162468,18352,280,1.11572551644558,0,45531018,18.8925385892116,12091369,3298622,5.01716556016598,1.36872282157676
5/20/2021,Uttar Pradesh,1651530,6681,0.685282157676349,1516508,13590,91.8244294684323,18588,236,1.12550180741494,0,45822509,19.0134892116183,12499628,3314026,5.18656763485477,1.37511452282158
5/21/2021,Uttar Pradesh,1659212,7682,0.688469709543568,1534176,17668,92.4641335766617,18760,172,1.13065720353999,0,46111719,19.1334933609959,12699287,3329388,5.26941369294606,1.3814887966805
5/22/2021,Uttar Pradesh,1665176,5964,0.690944398340249,1551716,17540,93.1863058319361,18978,218,1.13969934709604,0,46419134,19.2610514522822,12897520,3344183,5.35166804979253,1.38762780082988
5/23/2021,Uttar Pradesh,1669891,4715,0.692900829875519,1565802,14086,93.7667189056052,19209,231,1.15031460137219,0,46736818,19.3928705394191,12910356,3344794,5.35699419087137,1.38788132780083
5/24/2021,Uttar Pradesh,1673785,3894,0.694516597510373,1577720,11918,94.2606129222093,19362,153,1.15677939520309,0,47063616,19.5284713692946,13180187,3363047,5.46895726141079,1.39545518672199
5/25/2021,Uttar Pradesh,1677508,3723,0.696061410788382,1588161,10441,94.6738256985958,19519,157,1.16357120204494,0,47362430,19.6524605809129,13436943,3379393,5.57549502074689,1.4022377593361
5/26/2021,Uttar Pradesh,1680684,3176,0.697379253112033,1598701,10540,95.1220455481221,19712,193,1.17285581346642,0,47720703,19.8011215767635,13681405,3392753,5.67693153526971,1.40778132780083
5/27/2021,Uttar Pradesh,1683862,3178,0.698697925311203,1605696,6995,95.3579331322876,19899,187,1.18174767290906,0,48068524,19.9454456431535,13948710,3406590,5.78784647302905,1.41352282157676
5/28/2021,Uttar Pradesh,1686138,2276,0.699642323651452,1613841,8145,95.7122726609566,20053,154,1.18928581171885,0,48426572,20.0940132780083,14243499,3424389,5.91016556016598,1.42090829875519
5/29/2021,Uttar Pradesh,1688152,2014,0.700478008298755,1621743,7902,96.0661717665234,20208,155,1.19704860699747,0,48756628,20.2309659751037,14542802,3449797,6.03435767634855,1.4314510373444
5/30/2021,Uttar Pradesh,1690016,1864,0.701251452282158,1628456,6713,96.3574309355651,20346,138,1.20389392763145,0,49096724,20.3720846473029,14558288,3450316,6.04078340248963,1.43166639004149
5/31/2021,Uttar Pradesh,1691488,1472,0.7018622406639,1633947,5491,96.5982022928924,20497,151,1.21177330255964,0,49409401,20.5018261410788,14851890,3480426,6.16260995850622,1.4441601659751
6/1/2021,Uttar Pradesh,1692709,1221,0.70236887966805,1639572,5625,96.8608307748113,20672,175,1.22123767286639,0,49733196,20.6361809128631,15173873,3505447,6.29621286307054,1.45454232365145
6/2/2021,Uttar Pradesh,1693992,1283,0.702901244813278,1644511,4939,97.0790298891612,20787,115,1.22710142668915,0,50064707,20.7737373443983,15501696,3532960,6.43223900414938,1.46595850622407
6/3/2021,Uttar Pradesh,1695212,1220,0.703407468879668,1648771,4260,97.2604606385514,20895,108,1.23258919828316,0,50405118,20.9149867219917,15869421,3561731,6.58482199170124,1.47789668049793
6/4/2021,Uttar Pradesh,1696324,1112,0.70386887966805,1652417,3646,97.4116383426751,21031,136,1.23979852905459,0,50723832,21.0472331950207,16242637,3595560,6.73968340248963,1.49193360995851
6/5/2021,Uttar Pradesh,1697352,1028,0.704295435684647,1656763,4346,97.6086869429559,21151,120,1.24611748181874,0,51032849,21.1754560165975,16607371,3627227,6.89102531120332,1.5050734439834
6/6/2021,Uttar Pradesh,1698389,1037,0.704725726141079,1659209,2446,97.6931079982266,21252,101,1.25130344108446,0,51342537,21.3039572614108,16625016,3628984,6.89834688796681,1.50580248962656
6/7/2021,Uttar Pradesh,1699083,694,0.705013692946058,1662069,2860,97.8215307904322,21333,81,1.25555961656964,0,51622903,21.4202917012448,17055927,3655756,7.07714813278008,1.5169112033195
6/8/2021,Uttar Pradesh,1699788,705,0.70530622406639,1664296,2227,97.9119749051058,21425,92,1.260451303339,0,51907814,21.538512033195,17471652,3678606,7.24964813278008,1.52639253112033
6/9/2021,Uttar Pradesh,1700476,688,0.705591701244813,1666001,1705,97.9726264881127,21516,91,1.26529277684601,0,52198161,21.658987966805,17864149,3701174,7.41250995850622,1.53575684647303
6/10/2021,Uttar Pradesh,1701072,596,0.705839004149378,1667232,1231,98.0106662151867,21597,81,1.2696111628432,0,52503838,21.7858248962656,18270797,3728751,7.58124356846473,1.54719958506224
6/11/2021,Uttar Pradesh,1701668,596,0.706086307053942,1668874,1642,98.0728320683,21667,70,1.27328009929081,0,52780680,21.9006970954357,18705919,3763040,7.76179211618257,1.56142738589212
